Species,Common_name,UM1,UM1,UM1,UM1,UM2,UM2,UM2,UM2,UM3,UM3,UM3,UM3,MM1,MM1,MM1,MM1,MM2,MM2,MM2,MM2,MM3,MM3,MM3,MM3,MM4,MM4,MM4,MM4,LM1,LM1,LM1,LM1,LM2,LM2,LM2,LM2,LM3,LM3,LM3,LM3
Anguilla anguilla,European eel,4171,0,0,0,0,2282,5085,0,0,0,0,40655,10379,0,0,0,0,1368,0,0,0,2,0,0,6,12,0,0,6,6,0,7,2,0,0,0,0,4,0,4
Rutilus rutilus,Roach,23375,57720,57278,4861,6473,36095,54145,45865,37026,69610,33399,14308,2055,16820,9715,10,1961,0,0,11,0,7854,0,0,1979,9058,0,0,5749,13102,0,13,0,5,3,8,8,0,0,0
Abramis brama,Common bream,3231,38623,11547,147971,3818,13496,38032,0,0,37191,44393,0,18725,0,0,0,0,0,0,10,0,0,0,0,25,34,0,0,5,20,0,5,0,17,0,3,0,0,0,0
Phoxinus phoxinus,Common minnow,0,11595,2829,0,0,13048,0,0,0,13614,12573,0,0,906,2,0,0,12,0,8,17705,0,0,0,25,0,0,0,22,0,0,0,0,0,0,3,5,0,0,0
Merlangius merlangus,Whiting,0,0,0,0,0,0,0,3,0,3,0,7,0,0,0,0,0,0,0,0,0,0,19908,0,0,0,48,0,46,23,0,2286,14194,0,14,0,9795,43766,1154,0
Gasterosteus aculeatus,Three-spined stickleback,2496,7963,8802,10492,0,3095,11534,0,21470,42237,48935,13782,0,3195,15238,0,0,0,0,0,0,6032,0,0,5,22,0,0,0,13,0,13,0,0,0,0,1387,0,0,0
Pomatoschistus microps,Common goby,0,7,0,0,0,0,0,0,0,43,0,0,13941,0,28820,0,14185,0,0,0,0,0,0,0,5228,0,0,0,0,0,0,0,0,0,0,20,0,0,0,9
Gobio gobio,Gudgeon,9185,2858,9632,0,2125,3934,2567,0,3237,5696,3242,0,1595,2342,0,0,0,0,14,2,0,20965,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8,0,0,0
Platichthys flesus,European flounder,4,4,19370,0,0,0,3577,16,0,2739,11279,0,2297,21082,0,2398,39349,0,20836,99405,0,25530,182,0,3477,5116,8610,9663,779,6,0,0,7,51,754,74,0,0,0,0
Clupea harengus,Atlantic herring,0,0,9,0,0,0,0,17,0,0,0,0,0,0,0,0,13,0,18,176,0,69,26712,0,0,7394,18750,0,0,0,18458,0,0,0,17,3,18484,39742,476,6895
Squalius cephalus,Chub,0,6224,864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Esox lucius,Northern pike,0,0,3212,4191,0,0,1009,0,17,7423,0,14855,0,6049,7644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Perca fluviatilis,European perch,2,0,3590,0,15790,7123,30372,25900,0,51051,0,0,0,0,0,2805,0,0,0,0,0,0,0,17,5,54,0,0,12,51,0,0,0,0,0,0,0,0,0,4
Gymnocephalus cernua,Eurasian ruffe,3,0,14879,2,2,0,0,0,0,8180,0,39384,0,0,0,0,0,0,0,0,0,0,0,2368,0,8,0,0,0,0,0,0,0,25,0,0,0,0,0,0
Salmo salar,Atlantic salmon,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leuciscus leuciscus,Dace,0,1894,21,7,0,0,68,0,383,3914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solea solea,Common sole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0
Cottus gobio,European bullhead,0,7457,0,0,1223,0,0,0,0,4156,7710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salmo trutta,Brown trout,0,1101,6900,0,503,3974,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,3,7,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Barbatula barbatula,Stone loach,0,1101,0,0,0,0,1739,0,8522,2008,2371,0,18953,0,8,0,0,15334,0,0,18,0,0,0,0,3,0,0,0,4,0,0,23,0,0,0,0,0,0,0
Ciliata mustela,Fivebeard rockling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3115,0
Sprattus sprattus,European sprat,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,11125,0,0,2942,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,15,0,26765,11917,2
