Species,Common_name,UM1,UM1,UM1,UM1,UM2,UM2,UM2,UM2,UM3,UM3,UM3,UM3,MM1,MM1,MM1,MM1,MM2,MM2,MM2,MM2,MM3,MM3,MM3,MM3,MM4,MM4,MM4,MM4,LM1,LM1,LM1,LM1,LM2,LM2,LM2,LM2,LM3,LM3,LM3,LM3
Anguilla anguilla,European eel,2258,0,605,0,0,2526,0,0,3163,0,0,24,0,0,5574,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,1026,13,0,11,0,27,65,0
Rutilus rutilus,Roach,23875,10751,8267,3287,2337,10018,23465,0,9411,11778,1301,0,12928,0,0,14,6423,15306,0,0,0,10448,0,0,1870,2737,2,465,8406,0,3,0,424,0,0,0,76,39,47,256
Abramis brama,Common bream,8295,2991,3383,24624,11614,4890,0,0,4925,2311,1987,2206,3737,9681,2659,0,2,8982,0,0,5,0,10,0,0,0,0,0,14013,0,0,0,3624,0,0,0,0,0,16,261
Phoxinus phoxinus,Common minnow,4326,938,3781,5238,4201,3331,4071,0,4156,6833,1735,0,4146,2115,4226,5249,0,16330,32,0,0,0,3,6,0,0,0,166,32476,5388,0,0,0,0,0,0,22568,0,0,51
Merlangius merlangus,Whiting,0,0,2,0,0,0,7,0,0,17,0,0,0,0,0,0,0,0,17,33,0,0,0,0,0,0,5,0,0,21077,0,0,33,5967,3,0,0,0,0,0
Gasterosteus aculeatus,Three-spined stickleback,15092,12055,1067,0,3877,4681,0,0,3594,19948,14667,0,12127,8463,5987,0,0,0,0,0,0,0,0,3,0,0,0,0,40,6,5,0,0,7341,0,0,0,5,25,70
Pomatoschistus microps,Common goby,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,12,0
Gobio gobio,Gudgeon,1041,0,2795,18700,33,5376,8568,0,5841,0,638,1343,0,0,0,18018,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,20,0,52
Platichthys flesus,European flounder,0,0,0,3,0,0,0,0,0,93,5,0,0,2206,14,0,10,0,5525,262,18,0,4,0,8287,14,0,0,15055,4,0,57,0,0,28,24,0,47,11,785
Clupea harengus,Atlantic herring,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,18,0,0,32,3,11,192,0,2728,0,11,865,0,0,2,0,0,0,0,0,16,2357,6,2
Squalius cephalus,Chub,3116,0,1159,0,0,0,0,9,8,3,2810,0,0,0,0,0,2,0,0,0,0,0,0,0,2069,0,0,0,0,6,3,0,0,0,0,0,0,15,0,5
Esox lucius,Northern pike,0,0,735,0,0,0,0,0,20,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,26
Perca fluviatilis,European perch,0,5612,0,7012,2742,2231,0,5691,2,3,2,5318,1724,0,0,0,0,0,0,0,0,0,6,4,0,0,0,2,0,0,0,0,0,0,0,0,52,0,13,0
Gymnocephalus cernua,Eurasian ruffe,0,0,0,0,0,0,0,0,69,0,0,4,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0
Leuciscus leuciscus,Dace,0,0,0,0,3,2,0,1871,21,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Solea solea,Common sole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84
Cottus gobio,European bullhead,374,21,0,0,143,0,0,1436,0,3,20522,13,3181,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salmo trutta,Brown trout,4310,398,0,19,1959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12269,0,0,0,16582,0,0,0,0,0,0,0,5,0,60
Barbatula barbatula,Stone loach,478,0,2828,0,3128,1123,0,3887,505,0,0,0,0,0,3267,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,11
Thymallus thymallus,European grayling,0,1415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
