Site,Method,Zone,Month
UM1,0.45µm,Upper,November
UM1,0.45µm,Upper,December
UM1,0.45µm,Upper,January
UM1,1.2µm,Upper,November
UM1,1.2µm,Upper,December
UM1,1.2µm,Upper,January
UM1,5µm,Upper,November
UM1,5µm,Upper,December
UM1,5µm,Upper,January
UM1,Metaprobe,Upper,November
UM1,Metaprobe,Upper,December
UM1,Metaprobe,Upper,January
UM2,0.45µm,Upper,November
UM2,0.45µm,Upper,December
UM2,0.45µm,Upper,January
UM2,1.2µm,Upper,November
UM2,1.2µm,Upper,December
UM2,1.2µm,Upper,January
UM2,5µm,Upper,November
UM2,5µm,Upper,December
UM2,5µm,Upper,January
UM2,Metaprobe,Upper,November
UM2,Metaprobe,Upper,December
UM2,Metaprobe,Upper,January
UM3,0.45µm,Upper,November
UM3,0.45µm,Upper,December
UM3,0.45µm,Upper,January
UM3,1.2µm,Upper,November
UM3,1.2µm,Upper,December
UM3,1.2µm,Upper,January
UM3,5µm,Upper,November
UM3,5µm,Upper,December
UM3,5µm,Upper,January
UM3,Metaprobe,Upper,November
UM3,Metaprobe,Upper,December
UM3,Metaprobe,Upper,January
MM1,0.45µm,Central,November
MM1,0.45µm,Central,December
MM1,0.45µm,Central,January
MM1,1.2µm,Central,November
MM1,1.2µm,Central,December
MM1,1.2µm,Central,January
MM1,5µm,Central,November
MM1,5µm,Central,December
MM1,5µm,Central,January
MM1,Metaprobe,Central,November
MM1,Metaprobe,Central,December
MM1,Metaprobe,Central,January
MM2,0.45µm,Central,November
MM2,0.45µm,Central,December
MM2,0.45µm,Central,January
MM2,1.2µm,Central,November
MM2,1.2µm,Central,December
MM2,1.2µm,Central,January
MM2,5µm,Central,November
MM2,5µm,Central,December
MM2,5µm,Central,January
MM2,Metaprobe,Central,November
MM2,Metaprobe,Central,December
MM2,Metaprobe,Central,January
MM3,0.45µm,Central,November
MM3,0.45µm,Central,December
MM3,0.45µm,Central,January
MM3,1.2µm,Central,November
MM3,1.2µm,Central,December
MM3,1.2µm,Central,January
MM3,5µm,Central,November
MM3,5µm,Central,December
MM3,5µm,Central,January
MM3,Metaprobe,Central,November
MM3,Metaprobe,Central,December
MM3,Metaprobe,Central,January
MM4,0.45µm,Central,November
MM4,0.45µm,Central,December
MM4,0.45µm,Central,January
MM4,1.2µm,Central,November
MM4,1.2µm,Central,December
MM4,1.2µm,Central,January
MM4,5µm,Central,November
MM4,5µm,Central,December
MM4,5µm,Central,January
MM4,Metaprobe,Central,November
MM4,Metaprobe,Central,December
MM4,Metaprobe,Central,January
LM1,0.45µm,Lower,November
LM1,0.45µm,Lower,December
LM1,0.45µm,Lower,January
LM1,1.2µm,Lower,November
LM1,1.2µm,Lower,December
LM1,1.2µm,Lower,January
LM1,5µm,Lower,November
LM1,5µm,Lower,December
LM1,5µm,Lower,January
LM1,Metaprobe,Lower,November
LM1,Metaprobe,Lower,December
LM1,Metaprobe,Lower,January
LM2,0.45µm,Lower,November
LM2,0.45µm,Lower,December
LM2,0.45µm,Lower,January
LM2,1.2µm,Lower,November
LM2,1.2µm,Lower,December
LM2,1.2µm,Lower,January
LM2,5µm,Lower,November
LM2,5µm,Lower,December
LM2,5µm,Lower,January
LM2,Metaprobe,Lower,November
LM2,Metaprobe,Lower,December
LM2,Metaprobe,Lower,January
LM3,0.45µm,Lower,November
LM3,0.45µm,Lower,December
LM3,0.45µm,Lower,January
LM3,1.2µm,Lower,November
LM3,1.2µm,Lower,December
LM3,1.2µm,Lower,January
LM3,5µm,Lower,November
LM3,5µm,Lower,December
LM3,5µm,Lower,January
LM3,Metaprobe,Lower,November
LM3,Metaprobe,Lower,December
LM3,Metaprobe,Lower,January
