Species,Common_name,UM1,UM1,UM1,UM1,UM2,UM2,UM2,UM2,UM3,UM3,UM3,UM3,MM1,MM1,MM1,MM1,MM2,MM2,MM2,MM2,MM3,MM3,MM3,MM3,MM4,MM4,MM4,MM4,LM1,LM1,LM1,LM1,LM2,LM2,LM2,LM2,LM3,LM3,LM3,LM3
Anguilla anguilla,European eel,8546,11476,30510,0,52367,5908,19977,0,22379,34803,0,0,0,4784,0,0,0,0,0,0,0,0,0,13,257,0,2631,4,83,32,0,0,0,0,0,0,14,10,0,0
Rutilus rutilus,Roach,49027,42857,76173,15273,244708,138440,48883,0,36804,23128,0,20467,2374,3910,0,0,61592,30,0,0,10905,9585,0,0,2149,12670,0,0,9667,2897,0,0,0,0,0,0,0,25,0,0
Abramis brama,Common bream,16130,20192,32364,8,66490,48962,23300,18517,775,9691,0,22289,19433,0,0,0,6239,40,0,0,0,0,0,0,5517,0,15817,0,21666,5194,0,0,0,9928,9520,20191,0,0,92,9
Phoxinus phoxinus,Common minnow,8569,6274,15707,1536,21801,9945,1409,5263,0,0,6,5263,0,834,0,0,0,12,0,0,0,7952,0,0,4388,7374,0,11,11,4333,2,2,0,0,0,0,2,6,0,17
Merlangius merlangus,Whiting,0,8,0,62,0,0,0,0,0,0,0,0,0,3034,9610,23,0,7209,7567,0,5727,0,0,0,1599,3909,2,0,9979,3761,0,3196,7085,1923,0,6,10479,529,0,5
Gasterosteus aculeatus,Three-spined stickleback,10765,10586,0,7,46442,20717,47681,0,6682,24454,2906,8,18186,2346,2666,0,0,8,0,0,0,0,0,0,4201,13312,0,0,0,25,0,0,0,0,0,0,0,0,0,0
Pomatoschistus microps,Common goby,0,0,0,0,0,0,0,0,0,8775,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gobio gobio,Gudgeon,5560,8340,19150,0,26119,13489,15013,26,14092,0,0,26,0,0,0,0,0,8,0,0,0,0,0,0,0,4486,0,2,0,45,0,0,0,0,7,0,0,11,0,0
Platichthys flesus,European flounder,716,10286,0,0,46,15,0,0,28439,9488,0,57,9478,9060,12,21,13625,102,8402,0,49807,0,17248,24,7552,698,97,4,26039,51903,0,0,102201,10585,8642,5,3476,0,6380,24
Clupea harengus,Atlantic herring,0,0,15,64,0,0,0,0,0,2814,0,35,0,2954,0,40,24,11400,0,11,0,0,0,0,4189,0,29,0,0,0,1656,0,17081,19598,0,0,886,17748,0,12902
Squalius cephalus,Chub,2761,3441,12344,5,14,3342,48,0,10214,0,0,2,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,0,0
Esox lucius,Northern pike,7074,0,4550,0,6241,11143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,9,0,0,0,0,0,0,562,7,0
Perca fluviatilis,European perch,8547,5302,16172,0,29811,7676,24216,0,0,6708,11,8,9063,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0
Gymnocephalus cernua,Eurasian ruffe,1411,7153,7999,0,3,1441,7158,0,0,0,0,45663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0
Salmo salar,Atlantic salmon,2663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1916,0,0,0,0,0,4
Leuciscus leuciscus,Dace,40,17,73,0,2943,1707,15432,0,0,15,0,4,0,0,0,0,2154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solea solea,Common sole,0,0,0,0,2,9,0,0,0,0,0,0,0,4,3,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16049,0,0,0,0,3356,0,0
Cottus gobio,European bullhead,554,0,0,0,5099,1276,11416,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0
Salmo trutta,Brown trout,0,2466,0,2,8568,3,0,0,3514,0,2,0,0,4210,0,0,2,9,0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,0,2,0,0,0,0,0
Barbatula barbatula,Stone loach,10,0,0,0,6494,0,0,4,0,0,3,0,3143,0,0,0,0,0,0,2,0,0,0,13,2563,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Thymallus thymallus,European grayling,120,439,3711,0,0,943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0
Ciliata mustela,Fivebeard rockling,0,0,0,0,2,2,0,0,0,0,0,0,0,3,0,0,11355,0,3,0,0,0,0,0,1846,0,0,0,0,3716,0,2,0,0,0,5457,0,2,0,0
Sprattus sprattus,European sprat,0,0,0,62,2,0,0,0,0,0,0,0,0,26,0,0,6988,1109,0,0,0,0,0,0,21,0,0,0,2239,2725,21,0,0,13481,0,0,3051,37,0,31
Carassius carassius,Crucian carp,0,0,0,0,906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chelon labrosus,Thicklip grey mullet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blicca bjoerkna,White bream,190,0,0,0,1425,4265,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gadus morhua,Atlantic cod,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sparus aurata,Gilt-head bream,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scomber scombrus,Atlantic mackerel,0,37,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3549,0,0,0,21607,0,0,46210,2701,1442,21
Pomatoschistus minutus,Sand goby,0,0,0,0,3,0,0,0,0,0,0,0,8094,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4938,0,0,0,2501,0,0,2056,0,0,8
Lipophrys pholis,Shanny,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28044,0,0,0,0,1511,0,0
Dicentrarchus labrax,European seabass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0
Limanda limanda,Common dab,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4930,0,1893,0,2692,0,0,0
Syngnathus rostellatus,Lesser pipefish,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,25093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trisopterus minutus,Poor cod,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buglossidium luteum,Yellow sole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8990,0,0,0,0,0,0,0,0,0,0,0,0,0
